States,Foss,STEMScopes,AmplifyScience,Tynker,Minecraft,STEMFuse,TechTerraEdducation,AllOtherNGSSCurriculum,SAMLabs,StrawBees,Arduino,AmplifyScience,Ozobot,MakeyMakey,Dremel,BBCmicrobit,Edison,UBTech,Engino,MicrosoftHololens,ClassVR,Prusa,PiTop,KinderlabRobotics,XYZPrinting,Makeblock,Bloxels,Robo3D,HTCVive,Kano,Oculus,Glowforge,Cubelets,BirdbrainTechnology,LulzBot,BeeBots,RaspberryPi,Sparkfun,KNex,SnapCircuits,Ultimaker,Wonderworkshop,Littlebits,Sphero,ZSpace,PascoScientific,Makerbot,Pitsco,Vernier,LEGOEducation,Vex,TOTAL,StudentPopulation,PopulationDensity,DistrictCount
Missouri,"$80,653.00","$56,529.36","$390,907.00","$62,896.80","$114,482.16","$1,498.00",$169.44,"$2,450,000.00","$1,968.00","$4,513.00","$39,392.62","$357,419.00","$100,217.13","$55,937.81","$124,607.00","$3,244.18","$10,225.27",$149.95,"$2,076.39",$0.00,"$34,757.97","$13,461.23",$0.00,"$3,672.43",$870.53,"$7,219.39","$47,425.81","$9,691.00","$7,224.00","$1,451.00","$10,281.00","$65,428.00","$64,229.00","$33,784.00","$93,853.00","$42,420.88","$42,124.00","$21,761.00","$152,454.00","$114,915.00","$105,453.00","$69,130.00","$199,643.00","$293,414.00","$547,129.00","$478,634.00","$561,643.99","$943,004.00","$2,970,000.00","$1,850,000.00","$3,020,000.00",12504824.58,913441,$13.69,564
Montana,"$2,514.70",$527.00,"$141,555.00","$8,850.00","$4,077.05",$0.00,$0.00,"$4,900,000.00",$0.00,$494.20,"$3,432.89","$141,555.04","$10,638.74","$5,054.50","$4,587.41",$0.00,$369.00,"$3,099.71",$0.00,$0.00,$0.00,"$3,359.07",$0.00,$251.90,$0.00,786.38*,$800.00,$0.00,"$2,356.76",$369.01,$0.00,"$2,594.00","$2,747.58",$0.00,"$15,103.00","$2,446.55","$7,346.00","$4,865.00","$4,406.00","$4,078.00",$0.00,$967.00,"$9,686.00","$21,641.00","$69,996.00","$13,258.00","$97,946.99","$76,346.00","$295,553.00","$204,103.00","$428,100.00",1437551.35,148844,$9.66,488
Nebraska,"$65,634.10","$529,064.55","$1,650,000.00",4740*,"$8,894.58","$16,588.60",$0.00,"$938,109.00",$0.00,"$3,689.00","$21,765.41","$1,219,899.00","$27,394.72","$40,440.91","$80,840.00","$8,630.85","$4,518.00",$0.00,"$1,671.69","$20,997.00",$0.00,"$16,644.57",$0.00,$0.00,"$1,455.15","$5,871.54","$10,366.80",$54.00,$800.00,"$1,016.00","$5,339.88","$22,468.00","$24,259.00","$3,247.00",$120.00,"$16,774.00","$13,599.00","$49,929.00","$31,442.00","$34,836.00","$87,862.00","$179,028.00","$67,678.00","$118,208.00","$194,907.00","$201,183.00","$398,686.75","$1,200,000.00","$1,000,000.00","$362,459.00","$1,480,000.00",6958080.27,326392,$21.32,279
Nevada,"$24,698.94","$12,500.00","$322,389.00","$23,993.72","$9,995.33","$12,842.74",$575.10,"$363,843.00",$0.00,$35.99,"$10,434.49","$77,430.00","$10,736.83","$20,588.69","$57,057.00",$394.80,$0.00,$484.90,$738.42,$0.00,$0.00,"$1,498.00",$0.00,"$23,853.00","$1,480.54","$1,708.42",$29.25,"$4,995.00",$499.00,"$5,590.00",$0.00,"$6,688.00","$18,800.76","$6,785.00","$39,406.00","$4,953.78","$41,701.00","$11,728.00","$27,407.00","$26,435.00","$58,863.00","$26,475.00","$69,877.00","$148,797.00","$2,310,000.00","$91,962.00","$135,853.52","$131,080.00","$248,781.00","$435,934.00","$2,000,000.00",6059081.39,498614,$12.15,21
New Hampshire,$286.46,$0.00,$0.00,"$1,400.00","$3,459.58","$1,499.00",$0.00,"$113,460.00",$0.00,$0.00,"$3,703.34",$0.00,"$4,883.97","$3,308.42","$11,241.00",$0.00,$671.59,$0.00,$44.10,$0.00,$0.00,$0.00,$0.00,$480.90,$0.00,$0.00,$0.00,$0.00,$800.00,$169.98,$0.00,$0.00,$0.00,$488.00,$0.00,"$6,566.86","$6,656.00","$5,989.00","$5,690.00","$3,931.00","$5,919.00","$7,731.00","$5,667.00","$6,570.00","$51,190.00","$12,284.00","$68,663.47","$69,185.00","$143,036.00","$106,570.00","$134,528.00",665967.63,178515,$3.73,308
New Jersey,"$211,745.01","$221,643.48","$270,170.00","$104,561.39","$130,452.29","$20,712.00",$0.00,"$5,850,000.00","$12,900.00","$6,400.20","$280,685.90","$258,873.00","$133,945.02","$115,645.07","$140,970.00","$1,650.49","$7,271.17","$3,931.00","$9,039.19","$12,000.00",$0.00,"$40,593.74","$15,091.38","$20,350.57","$39,351.76",15837.84*,"$14,801.19","$17,046.00","$12,567.00","$24,804.00","$31,856.00","$50,187.00","$147,850.00","$37,112.00","$300,732.00","$47,021.00","$83,371.00","$151,341.00","$325,055.00","$133,748.00","$168,322.00","$232,870.00","$570,960.00","$332,839.00","$424,972.00","$1,770,000.00","$1,900,000.00","$3,370,000.00","$2,570,000.00","$3,480,000.00","$1,840,000.00",19136152.68,1400069,$13.67,688
New Mexico,"$6,364.25","$334,359.96","$1,180,000.00","$18,078.90",7924.19*,"$1,497.99",$0.00,"$2,860,000.00",$572.47,"$1,634.19","$22,167.27","$81,590.00","$35,413.34","$8,112.41","$43,906.00","$1,180.60","$3,741.00",$259.51,"$2,142.41",$0.00,$0.00,"$8,991.54",$622.71,"$5,809.90","$3,049.69","$7,864.99","$4,190.57","$3,099.00",$0.00,"$3,291.00",$837.00,"$36,356.00","$13,601.00",$600.00,"$23,616.00","$1,070.80","$18,920.00","$27,072.00","$59,319.00","$30,701.00","$19,912.00","$20,734.00","$52,269.00","$19,359.00","$887,116.00","$46,591.00","$387,803.90","$342,642.00","$391,629.00","$889,540.00","$625,043.00",4132370.3,333537,$12.39,147
New York,"$182,102.59","$178,056.10","$1,940,000.00","$328,410.69","$88,589.37","$20,846.85",$266.00,"$7,900,000.00","$10,815.00","$13,004.00","$348,377.95","$72,927.00","$224,797.68","$338,420.51","$331,673.00","$6,013.80","$50,811.55","$19,953.93","$9,008.15","$5,000.00","$10,264.00","$63,022.58","$16,419.12","$39,666.42","$18,747.75","$36,537.75","$52,243.69","$11,757.00","$48,047.00","$29,124.00","$63,164.00","$226,453.00","$268,674.00","$176,762.00","$456,812.00","$302,133.00","$221,450.00","$258,558.00","$409,567.00","$144,739.00","$409,377.00","$602,954.00","$983,579.00","$782,326.00","$5,760,000.00","$1,420,000.00","$3,470,000.00","$3,450,000.00","$3,130,000.00","$4,810,000.00","$6,360,000.00",35463179.88,2700833,$13.13,1062
North Carolina,"$15,757.22","$429,895.22","$6,001.00","$16,149.00","$10,027.79",$0.00,"$2,849.05","$368,307.00","$3,172.00","$25,570.86","$55,222.93","$6,001.41","$66,958.98","$159,372.96","$80,334.00","$7,121.61","$2,491.06",$825.18,"$9,997.58","$3,000.00","$5,318.25","$7,026.49","$1,877.99",$0.00,"$4,218.05","$9,515.35","$19,659.74","$47,025.00","$3,816.00","$40,011.00","$59,222.00","$102,111.00","$44,676.00","$33,251.00","$20,043.00","$48,682.00","$49,469.00","$50,844.00","$250,392.00","$86,561.00","$106,295.00","$128,867.00","$461,593.00","$816,007.00","$311,418.00","$217,452.00","$1,150,000.00","$4,910,000.00","$1,280,000.00","$2,230,000.00","$2,040,000.00",14955419.44,1552497,$9.63,346
North Dakota,"$14,591.30",$0.00,$0.00,$399.00,"$2,865.56",$499.00,$0.00,"$337,031.00",$0.00,$40.00,"$6,420.79",$0.00,"$11,410.24","$16,006.55","$22,468.86",$990.00,$254.76,$39.94,$690.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,-$662.66,"$5,242.42",$0.00,$0.00,"$1,384.00","$36,274.00",$0.00,"$2,752.00","$3,115.00",$0.00,"$8,343.00","$3,744.00","$3,338.00","$23,419.00","$9,208.00",$0.00,"$31,285.00","$55,694.00","$85,143.00","$36,985.00","$6,647.00","$225,383.56","$280,049.00","$255,459.00","$454,130.00","$501,698.00",2086951.55,113845,$18.33,221
Ohio,"$76,289.26","$34,642.00","$11,207.00","$115,328.11","$61,587.82","$17,191.20",$0.00,"$1,110,000.00","$22,745.00",$996.54,"$139,124.75","$7,556.90","$112,479.62","$75,487.96","$166,046.53","$2,787.08","$15,789.17",$519.94,"$6,013.87","$70,568.05","$193,050.97","$40,245.00",$546.41,"$4,295.41","$21,707.41","$30,723.67","$20,496.11","$17,431.00","$61,615.00","$33,627.00","$72,831.00","$207,020.00","$51,770.00","$126,237.00","$155,997.00","$81,458.00","$143,485.00","$141,897.00","$343,346.00","$161,265.00","$297,318.00","$211,307.00","$429,564.00","$656,599.00","$628,454.00","$1,320,000.00","$1,750,000.00","$1,860,000.00","$4,650,000.00","$2,970,000.00","$5,940,000.00",23242401.39,1695762,$13.71,1045
Oklahoma,"$597,602.88","$1,950.00","$78,678.00","$2,198.00","$6,990.76","$11,564.00",$0.00,"$4,320,840.00",$920.00,"$1,265.70","$2,314.87","$78,678.00","$19,697.68","$7,309.20","$5,815.91",$0.00,"$5,603.00",$259.90,"$1,996.87",$0.00,$0.00,$125.77,"$1,298.80",$0.00,"$1,395.42",$0.00,"$17,071.19","$7,950.00","$4,500.00",$299.97,"$14,983.00","$5,995.00","$11,844.00","$3,798.00","$11,306.00","$13,745.00","$13,662.00","$8,977.00","$30,503.00","$45,491.00","$2,800.00","$15,153.60","$33,675.00","$56,533.00","$34,547.00","$154,497.00","$213,685.25","$744,575.00","$366,734.00","$230,620.00","$679,121.00",2848747.13,698891,$4.08,597
Oregon,"$4,760.69","$356,996.68","$1,120,000.00",2340*,"$5,891.05",$0.00,$0.00,"$1,150,000.00","$2,392.00","$2,385.99","$49,460.42","$43,720.00","$21,725.67","$16,083.42",$495.33,$286.72,"$4,378.30",$0.00,$167.89,$0.00,$0.00,"$1,879.20",$0.00,$0.00,$84.00,"$2,239.93",3070.06*,$0.00,"$6,224.00","$2,699.90",$432.98,"$40,736.00","$15,124.00","$15,348.00","$33,557.00","$4,360.50","$10,691.00","$510,218.00","$14,980.00","$15,123.00","$69,618.00","$15,645.00","$43,876.00","$162,722.00","$499,871.00","$26,521.00","$203,805.71","$324,374.00","$766,229.00","$772,740.00","$431,927.00",4132121.96,609507,$6.78,222
Pennsylvania,"$403,218.43","$1,684.67","$421,875.00","$227,842.19","$77,033.52","$68,962.00",$0.00,"$5,910,000.00","$108,372.00","$11,859.51","$161,067.37","$423,597.37","$367,648.44","$193,550.69","$203,972.00","$56,444.13","$24,550.08","$4,777.11","$10,474.15",$0.00,$0.00,"$20,440.04","$3,834.83","$28,782.71","$44,461.49","$22,826.83","$24,128.76","$12,932.00","$18,402.00","$46,282.00","$22,133.00","$214,968.88","$100,448.00","$725,770.00","$187,827.00","$187,964.00","$262,407.00","$273,745.00","$460,968.00","$179,138.00","$374,466.00","$421,467.00","$654,059.00","$1,030,000.00","$342,056.00","$1,550,000.00","$1,940,000.00","$2,130,000.00","$3,500,000.00","$3,860,000.00","$4,270,000.00",24475820.39,1730757,$14.14,789
Rhode Island,"$337,099.81","$323,266.62","$2,684.00","$14,840.00","$2,000.44","$5,998.00",$0.00,"$637,864.00","$3,315.00",$0.00,"$14,411.05","$2,383.94","$12,128.16","$7,030.49","$1,072.00","$1,716.50","$1,023.06",$0.00,$87.95,$0.00,$0.00,$899.00,$0.00,"$13,554.50",$639.25,5696.83*,$105.91,$0.00,"$5,079.00",$999.92,"$4,059.73","$13,003.00","$12,042.45","$3,847.69","$21,468.00","$2,129.70","$11,876.00","$7,335.00","$11,484.00","$4,885.00","$13,942.00","$22,365.00","$23,685.00","$14,647.00","$57,547.00","$128,246.00","$184,625.81","$299,758.00","$213,190.00","$471,807.00","$297,434.00",1883823.11,143436,$13.13,64
South Carolina,"$28,002.00","$97,325.00",$0.00,"$13,240.00","$3,818.83","$35,650.98","$28,400.00","$967,314.00","$1,019.00","$1,042.40","$22,243.75",$0.00,"$28,752.14","$2,904.27","$31,665.07",$0.00,$588.00,$161.76,$0.00,$0.00,$0.00,"$1,099.00",$0.00,"$1,473.44",$738.90,3198.3*,"$2,095.00",$0.00,$0.00,$819.00,$0.00,"$32,768.70","$4,242.59","$42,915.00","$10,755.00","$1,258.85",$280.00,"$14,333.00","$194,006.00","$10,098.00","$5,668.00","$70,337.00","$116,323.00","$84,184.00","$514,277.00","$166,781.00","$325,906.28","$1,270,000.00","$902,910.00","$1,500,000.00","$1,380,000.00",6741645.15,780882,$8.63,103
South Dakota,"$1,097.05","$18,476.53","$1,445.00","$9,000.00",90.99*,"$32,992.99",$0.00,"$273,724.00",$0.00,$337.00,"$1,594.25","$1,445.00","$6,512.90","$4,670.98","$1,654.05",$861.63,$394.69,$423.47,$0.00,$0.00,"$7,838.00",$0.00,$0.00,$0.00,$0.00,$149.99,$549.95,$0.00,"$1,493.94",$0.00,"$13,025.00","$5,495.00",$499.99,"$1,675.00","$9,625.00",$140.00,"$2,041.00","$6,587.00","$8,107.90","$5,814.27",$0.00,"$20,850.00","$10,056.00","$39,653.00","$16,945.00","$23,682.00","$51,711.85","$269,965.00","$672,481.00","$159,046.00","$258,935.00",1604260.86,138975,$11.54,166
Tennessee,$0.00,"$383,154.95","$2,476.00","$8,199.00","$5,723.76","$11,992.00",$0.00,"$649,173.00",$0.00,$246.03,"$9,518.45","$2,476.00","$36,530.35","$6,972.90","$48,818.00",$17.50,"$1,843.00","$3,259.50",$637.15,"$3,772.70","$2,881.00",$596.00,"$5,827.00",$649.59,"$3,399.32",949.9*,"$5,081.74","$1,585.00","$3,394.00","$1,045.00","$8,370.00","$5,995.00","$37,617.00","$3,220.00",$519.00,"$15,117.00","$22,919.00","$13,792.00","$312,242.00","$28,816.79","$7,047.00","$47,520.00","$69,652.00","$152,660.00","$244,192.00","$71,190.00","$427,679.86","$365,015.00","$586,146.00","$416,595.00","$670,808.00",3645662.88,1007624,$3.62,147
Texas,"$59,239.24","$29,940,000.00","$1,400.00","$182,007.71","$185,575.50","$342,204.15","$15,235.78","$8,550,000.00","$49,834.00","$81,528.00","$444,841.96",$0.00,"$1,210,000.00","$381,076.77","$1,080,000.00","$20,653.86","$19,152.55","$17,644.22","$22,220.81","$3,150.00","$34,085.00","$20,855.99","$74,130.64","$468,835.16","$94,935.83",64767.28*,"$146,700.44","$21,796.00","$79,677.00","$124,374.00","$186,113.00","$146,889.00","$889,838.00","$179,721.00","$251,676.00","$735,294.67","$466,522.66","$376,379.00","$1,020,000.00","$734,744.00","$1,100,000.00","$1,110,000.00","$1,700,000.00","$2,000,000.00","$3,470,000.00","$4,500,000.00","$5,480,000.00","$15,450,000.00","$11,900,000.00","$16,750,000.00","$16,570,000.00",89412669.56,5433471,$16.46,1230
Utah,"$25,157.64",$0.00,$0.00,"$33,479.94","$6,402.21","$16,969.00",$0.00,"$168,266.00","$3,823.00",$515.00,"$31,772.79",$0.00,"$18,576.71","$84,893.19","$16,698.00","$1,232.05","$3,780.00","$1,260.00",$0.00,$0.00,$0.00,"$5,001.54",$185.00,"$20,416.86","$2,094.80","$10,733.25",$431.94,"$3,799.98","$2,497.00",$966.96,"$19,084.00","$23,184.00","$17,715.00","$15,537.00","$2,945.00","$14,290.00","$12,081.00","$15,123.00","$23,144.48","$15,245.00","$56,591.00","$129,079.00","$74,072.00","$353,101.00","$119,164.00","$121,843.00","$306,061.53","$352,179.00","$856,381.00","$1,460,000.00","$818,120.00",5013618.08,677031,$7.41,163
Vermont,$0.00,$0.00,$0.00,$0.00,"$1,877.59",$0.00,$0.00,"$117,284.00",$0.00,$0.00,"$2,228.07",$0.00,"$1,464.97","$1,459.89","$3,985.80",$0.00,$0.00,$0.00,$134.96,$0.00,$0.00,$0.00,$191.96,$877.80,$31.89,$0.00,$181.68,$0.00,"$2,733.00",$0.00,"$16,329.79","$5,066.00",$0.00,"$1,336.50","$2,500.00","$9,629.77",$750.00,"$19,813.00","$1,120.00","$2,222.04","$6,363.00","$1,700.00","$7,865.00","$5,995.00",$0.00,"$15,540.00","$34,753.16","$37,089.00","$97,754.00","$55,694.00","$33,018.00",367828.28,87359,$4.21,235
Virginia,"$32,487.94",$695.00,"$1,000.00","$10,412.00","$88,627.14","$2,000.00",$357.79,"$6,300,000.00",$570.00,"$2,877.30","$74,564.22","$1,000.00","$70,932.88","$80,899.33","$69,827.00","$1,216.62","$41,726.87",$129.95,"$1,413.41",$0.00,"$66,065.00","$7,980.00",$0.00,"$96,335.23","$4,024.60","$11,119.76","$33,196.98","$10,483.00","$9,034.00","$35,989.00","$15,423.00","$27,380.00","$25,671.00","$80,114.00","$49,324.00","$57,840.00","$83,715.00","$100,716.00","$61,382.00","$63,196.00","$237,116.00","$236,701.00","$134,124.00","$339,465.00","$580,041.00","$389,625.00","$1,660,000.00","$1,190,000.00","$1,080,000.00","$1,400,000.00","$1,740,000.00",10171218.15,1289367,$7.89,215
Washington,"$980,705.72","$1,060,000.00","$4,160,000.00","$55,803.68","$89,545.60","$172,222.44",$0.00,"$10,920,000.00","$91,096.00","$10,952.66","$174,211.67","$275,423.00","$114,442.00","$46,241.23","$188,272.00","$5,759.66","$6,422.68","$4,256.86","$16,582.06","$48,000.00","$56,149.32","$46,786.07","$4,069.78","$1,068.00","$7,822.45",6626.57*,"$7,110.97","$8,819.00","$12,535.00","$18,257.00","$27,899.00","$190,475.00","$48,845.00","$130,886.00","$257,248.00","$168,453.00","$100,011.00","$64,066.00","$113,648.00","$199,909.00","$528,542.00","$184,437.00","$206,351.00","$554,476.00","$717,055.00","$628,368.00","$2,400,000.00","$2,510,000.00","$7,940,000.00","$7,340,000.00","$6,440,000.00",31894946.41,1123736,$28.38,337
West Virginia,"$468,635.00",$0.00,$0.00,"$6,379.00","$3,824.04","$5,949.00",$0.00,"$701,724.00",$0.00,$587.00,"$5,903.90",$0.00,"$20,676.81","$21,395.60","$109,305.00",$553.37,$508.95,"$1,611.59","$1,930.88",$0.00,$0.00,$0.00,$0.00,"$8,550.04","$8,157.57","$2,772.20","$2,089.64","$3,325.00","$30,972.00","$3,034.00","$10,562.00","$33,587.00","$25,615.00","$17,669.00","$12,700.00","$8,932.00","$85,234.00","$8,408.00","$16,158.00","$25,613.00","$39,645.00","$78,048.00","$107,539.00","$179,043.00","$142,400.00","$31,919.00","$316,216.63","$219,881.00","$423,623.00","$463,423.00","$849,997.00",3317586.18,267976,$12.38,57
Wisconsin,"$490,259.43","$176,667.48","$1,080,000.00","$32,350.35","$50,747.22","$50,169.99",$695.00,"$1,550,000.00","$1,063.00","$21,397.56","$80,216.71","$364,051.00","$91,380.20","$44,354.36","$163,448.00","$4,472.62","$7,683.46",$790.46,"$4,217.01","$9,330.00","$46,319.75","$28,739.55",$0.00,"$12,143.19","$17,403.55","$5,974.59","$28,854.03","$5,242.00","$15,005.00","$6,919.00","$15,689.00","$75,313.00","$92,827.00","$13,078.00","$22,316.00","$78,879.00","$50,771.00","$56,863.00","$153,834.00","$121,828.00","$75,433.00","$214,969.00","$239,992.00","$337,965.00","$281,159.00","$412,941.00","$1,070,000.00","$747,129.00","$2,700,000.00","$1,660,000.00","$2,800,000.00",12179991.04,859333,$14.17,464
Wyoming,"$69,920.12","$82,931.95","$2,464.00","$27,951.00","$4,762.58","$8,493.00",$0.00,"$364,643.00",$0.00,$53.04,"$1,121.33","$2,464.00","$2,975.41","$5,520.32","$9,108.08",$0.00,"$1,299.00",$0.00,$436.98,$0.00,$0.00,$0.00,$0.00,$0.00,$94.71,$676.05,$34.18,"$4,410.00",$0.00,"$1,940.00",$283.00,"$3,920.00","$1,893.46",$0.00,"$2,129.00","$1,174.00","$1,965.00","$7,789.00","$9,480.00","$3,375.10","$6,434.00","$9,497.62","$4,913.00","$12,717.00",$400.00,"$8,973.00","$123,269.68","$340,987.00","$309,126.00","$212,216.00","$122,069.00",1212743.96,94313,$12.86,62